_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
129,10,25.49,5.1,20.85,31.15,20.85,5.12,10.3,Random,Onepoint,Uniform
130,11,23.96,4.31,20.85,31.15,20.85,4.71,10.3,Random,Onepoint,Uniform
131,12,24.46,4.69,20.85,31.15,20.85,4.91,10.3,Random,Onepoint,Uniform
132,13,21.88,1.85,20.85,31.15,20.85,3.09,10.3,Random,Onepoint,Uniform
133,14,21.88,1.85,20.85,31.15,20.85,3.09,10.3,Random,Onepoint,Uniform
134,15,21.88,1.85,20.85,31.15,20.85,3.09,10.3,Random,Onepoint,Uniform
135,16,21.88,1.85,20.85,31.15,20.85,3.09,10.3,Random,Onepoint,Uniform
136,17,22.4,2.63,20.85,31.15,20.85,3.68,10.3,Random,Onepoint,Uniform
137,18,22.91,3.3,20.85,31.15,20.85,4.12,10.3,Random,Onepoint,Uniform
138,19,21.37,0.98,20.85,31.15,20.85,2.24,10.3,Random,Onepoint,Uniform
139,20,20.85,0,20.85,20.85,20.85,0,0,Random,Onepoint,Uniform
140,1,17.36,4.36,16.74,24.55,10.05,4.85,14.5,Random,Onepoint,Flipbit
141,2,18.75,7.2,17.23,35.58,5.34,8.4,30.24,Random,Onepoint,Flipbit
142,3,18.21,7.33,16.62,45.32,4.91,9.65,40.41,Random,Onepoint,Flipbit
143,4,20.82,7.55,20.57,47.5,8.12,9.51,39.38,Random,Onepoint,Flipbit
144,5,25.03,8.52,24.5,44.31,11.07,10.53,33.24,Random,Onepoint,Flipbit
145,6,22.74,9.96,21.12,46.04,3.67,12.37,42.37,Random,Onepoint,Flipbit
146,7,23.45,9.01,21.82,52.55,11.68,11.56,40.87,Random,Onepoint,Flipbit
147,8,19.16,5.14,17.01,31.67,10.55,5.97,21.12,Random,Onepoint,Flipbit
148,9,20.95,5.99,19.31,41.95,11.5,7.62,30.45,Random,Onepoint,Flipbit
149,10,19.23,5.33,17.17,44.05,11.65,7.47,32.4,Random,Onepoint,Flipbit
150,11,23.61,7.58,21.15,43.54,13.16,9.21,30.38,Random,Onepoint,Flipbit
151,12,25.27,6.55,26.13,40.71,14.17,7.64,26.54,Random,Onepoint,Flipbit
152,13,21.04,5.3,21.17,32.25,11.4,6.27,20.85,Random,Onepoint,Flipbit
153,14,18.84,4.23,17.68,37.95,12.05,5.78,25.9,Random,Onepoint,Flipbit
154,15,17.9,4.6,19.92,26.42,11.2,4.97,15.22,Random,Onepoint,Flipbit
155,16,18.31,5.02,17.5,33.1,12.05,5.98,21.05,Random,Onepoint,Flipbit
156,17,17.92,4.31,16.07,29.82,11.07,5.06,18.75,Random,Onepoint,Flipbit
157,18,22.55,6.12,21.77,41.8,11.95,7.43,29.85,Random,Onepoint,Flipbit
158,19,19.52,5.2,19.05,36.27,11.2,6.49,25.07,Random,Onepoint,Flipbit
159,20,20.27,5.54,19.24,39.3,11.39,7.14,27.91,Random,Onepoint,Flipbit
160,1,20.71,7.1,20.85,38.45,9.9,8.68,28.55,Random,Onepoint,Gaussian
161,2,18.02,6.29,13.7,34.05,10.55,6.89,23.5,Random,Onepoint,Gaussian
162,3,18,5.02,15.05,25.4,12.1,5.23,13.3,Random,Onepoint,Gaussian
163,4,19.44,5.6,19.13,37.75,11.9,6.61,25.85,Random,Onepoint,Gaussian
164,5,20,6.58,15.95,38.3,12.1,7.33,26.2,Random,Onepoint,Gaussian
165,6,16.69,5.11,13.73,38.3,10.2,6.97,28.1,Random,Onepoint,Gaussian
166,7,20.2,7.35,20.65,31.15,9.25,7.71,21.9,Random,Onepoint,Gaussian
167,8,22.36,8.14,24.88,31.15,11.1,8.46,20.05,Random,Onepoint,Gaussian
168,9,22.24,9.45,17.25,43.45,11.45,10,32,Random,Onepoint,Gaussian
169,10,23.38,8.87,30.28,31.15,1.25,9.65,29.9,Random,Onepoint,Gaussian
170,11,28.14,4.79,31.15,31.15,10.87,6.39,20.28,Random,Onepoint,Gaussian
171,12,29.14,3.42,31.15,31.15,10.87,5.15,20.28,Random,Onepoint,Gaussian
172,13,30.15,1.8,31.15,31.15,21.15,3,10,Random,Onepoint,Gaussian
173,14,30.65,0.95,31.15,31.15,21.15,2.18,10,Random,Onepoint,Gaussian
174,15,31.15,0,31.15,31.15,31.15,0,0,Random,Onepoint,Gaussian
175,16,31.15,0,31.15,31.15,31.15,0,0,Random,Onepoint,Gaussian
176,17,31.17,0.03,31.15,31.45,31.15,0.07,0.3,Random,Onepoint,Gaussian
177,18,31.17,0.03,31.15,31.45,31.15,0.07,0.3,Random,Onepoint,Gaussian
178,19,31.17,0.03,31.15,31.45,31.15,0.07,0.3,Random,Onepoint,Gaussian
